,제목,부제,저자,출판사,출간일,가격,지수,쪽,무게,판형,분류,리뷰수,URL
0,코로나 투자 전쟁,전 세계 금융 역사 이래 최대의 유동성 ,"정채진 , 박석중 , 이광수 , 김한진 , 김일구 저 외 3명 정보 더 보기/감추기 정채진 박석중 이광수 김한진 김일구 여의도클라스 윤지호 최준영",페이지2,2020-05-25,16800,247536,312,542,152*225*30,"주식/증권, 부동산/경매, 경제전망",19,http://www.yes24.com/Product/Goods/90233128
1,싱글맘 부동산 경매로 홀로서기,‘채널A 서민갑부 이선미’가 들려주는 실전 경매 투자 노하우 ,이선미 저/ 송희창 감수,지혜로,2020-03-09,16000,90687,308,574,170*225*30,"부동산/경매, 재테크일반",242,http://www.yes24.com/Product/Goods/89429762
2,지성의 돈되는 부동산 1인법인,,지성 저/ 이승현(자본가) 감수,잇콘,2019-01-02,19000,96237,260,548,175*220*20,부동산/경매,47,http://www.yes24.com/Product/Goods/68157021
3,"빅데이터로 부동산 투자했다는 박 대리, 그래서 얼마 벌었대?",실패율 0%의 투자자 ‘플대표’의 빅데이터 투자법으로 나에게 딱 맞는 투자처 찾기! ,박상용(플대표) 저,잇콘,2020-05-02,18000,28008,304,624,170*225*30,"부동산/경매, 재테크일반",31,http://www.yes24.com/Product/Goods/90114555
4,경매 권리분석 이렇게 쉬웠어?,생초보도 할 수 있는 초간단 권리분석법 대공개! ,박희철(파이팅팔콘) 저/ 송희창 감수,지혜로,2019-01-15,18000,112899,328,588,152*223*30,부동산/경매,155,http://www.yes24.com/Product/Goods/68724647
5,부동산 절세 완전정복,절세 고수 자본가의 세금 폭탄 피하는 법 ,이승현(자본가) 저,한국경제신문사(한경비피),2020-04-28,18000,41400,356,728,170*225*30,"회계/재무/세무, 부동산/경매",44,http://www.yes24.com/Product/Goods/90064729
6,뷔페처럼 골라서 투자하는 해외 ETF 백과사전,"이 책 한 권이면 끝, '글로벌 ETF 투자 실전 가이드북!' ",김태현 저,스마트비즈니스,2020-05-04,21000,47175,384,682,153*225*30,부동산/경매,34,http://www.yes24.com/Product/Goods/90004070
7,송사무장의 부동산 경매의 기술,,송희창 저,지혜로,2017-04-20,16000,84591,312,560,152*223*19,부동산/경매,115,http://www.yes24.com/Product/Goods/38002304
8,IGO빡시다의 돈되는 개발호재 핵심정리,,IGO빡시다(황성환) 저,잇콘,2020-05-02,19000,39744,252,520,170*225*20,부동산/경매,16,http://www.yes24.com/Product/Goods/90124249
9,돈되는 재건축 재개발,,이정열(열정이넘쳐) 저,잇콘,2017-05-02,18000,65028,414,823,170*225*25,부동산/경매,30,http://www.yes24.com/Product/Goods/39006676
