,제목,부제,저자,출판사,출간일,가격,지수,쪽,무게,판형,분류,리뷰수,URL
0,부동산 절세 완전정복,절세 고수 자본가의 세금 폭탄 피하는 법 ,이승현(자본가) 저,한국경제신문사(한경비피),2020-04-28,18000,40734,356,728,170*225*30,"회계/재무/세무, 부동산/경매",44,http://www.yes24.com/Product/Goods/90064729?scode=032&OzSrank=1
1,2020 부동산 세금 사용설명서,2020년 개정 세법에 맞춘 부동산 절세전략 가이드 ,김성일 저/ 우승일 감수,한빛비즈,2020-05-26,11200,16851,188,368,152*225*20,부동산/경매,6,http://www.yes24.com/Product/Goods/90367322?scode=032&OzSrank=2
2,투에이스의 부동산 절세의 기술,"양도세, 종합소득세, 법인투자, 임대사업자까지 한 권으로 끝내는 세금 필독서 ",김동우 저/ 송희창 감수,지혜로,2019-05-30,19000,72453,460,917,165*235*27,부동산/경매,101,http://www.yes24.com/Product/Goods/74259039?scode=032&OzSrank=3
3,제네시스박의 부동산 절세,세금 노하우가 수익 노하우다! ,제네시스박 저,황금부엉이,2020-06-10,17500,17484,292,532,152*225*20,부동산/경매,3,http://www.yes24.com/Product/Goods/90328249?scode=032&OzSrank=4
4,2020 부동산과 세금,,국세청 저,국세청,2020-04-01,2000,30501,104,160,150*220*20,정부간행물,0,http://www.yes24.com/Product/Goods/89999657?scode=032&OzSrank=5
5,2020 국세청 세금 세트,부동산과 세금 + 생활세금시리즈 + 세금절약가이드 1+2 ,국세청 저,국세청,2020-04-01,12000,0,794,"1,100",150*220*40,정부간행물,1,http://www.yes24.com/Product/Goods/90178442?scode=032&OzSrank=6
6,아파트 청약 우선 당첨 : 부동산 세금·절세 양도소득세·증여세 세금절세,,이진규 저,경영정보사,2020-06-15,18000,180,464,,153*224*30,부동산/경매,0,http://www.yes24.com/Product/Goods/90549691?scode=032&OzSrank=7
7,부동산 세금 길잡이와 절세 아파트 우선 당첨 완전정복 세트,"양도소득세, 증여세, 부동산임대 세무실무 ",이진규 저,경영정보사,2020-06-15,29000,0,730,,153*224*40,"회계/재무/세무, 부동산/경매",0,http://www.yes24.com/Product/Goods/90549996?scode=032&OzSrank=8
8,부동산 절세 시대,다양한 절세 전략을 통해 부동산 세금에서 벗어나는 법 ,김리석 저,한국경제신문i ,2020-06-19,16000,180,324,580,152*225*30,회계/재무/세무,2,http://www.yes24.com/Product/Goods/90536014?scode=032&OzSrank=9
9,2020 1세대 2주택자 부동산 세금에서 살아남기,,"김연주 , 임준찬 공저",삼일인포마인,2020-03-13,17000,1152,368,665,153*224*30,부동산/경매,0,http://www.yes24.com/Product/Goods/89657236?scode=032&OzSrank=10
10,아는 만큼 부자 되는 부동산 세금,,조중식 저,삼일인포마인,2019-07-08,19000,306,416,606,188*257*22,"회계/재무/세무, 부동산/경매",10,http://www.yes24.com/Product/Goods/76104389?scode=032&OzSrank=11
11,부동산 세금을 절반으로 줄였습니다,"보유세, 양도세, 취득세… 꼭 알아야 할 부동산 절세의 기술 ","김종필 , 홍만영 공저",매일경제신문사,2019-04-25,18000,1752,336,550,152*225*18,"회계/재무/세무, 부동산/경매",18,http://www.yes24.com/Product/Goods/71964331?scode=032&OzSrank=12
12,부동산 세금 해결사,"소득세, 양도세, 상속·증여세부터 절세까지 모든 부동산 세금 문제에 명쾌한 답을 주는 ",성민석 저,라온북,2017-11-03,13800,84,218,395,150*220*12,"회계/재무/세무, 부동산/경매, 재테크일반",28,http://www.yes24.com/Product/Goods/55280501?scode=032&OzSrank=13
13,"부동산 세금, 알고 덜 낼래 모르고 더 낼래",,문진혁 저,타임스퀘어,2008-10-06,15000,12,352,636,153*224*30,부동산/경매,0,http://www.yes24.com/Product/Goods/3087565?scode=032&OzSrank=14
14,2018 확 바뀐 부동산세금,중과세시대의 필독서 ,신방수 저,매일경제신문사,2017-09-11,16800,24,348,524,152*225*16,부동산/경매,1,http://www.yes24.com/Product/Goods/46219193?scode=032&OzSrank=15
15,알면 거저 먹는 부동산세금 깐깐하게 줄여라,,김기풍 저,이코노믹북스,2004-12-25,10000,0,279,425,153*224*20,부동산/경매,0,http://www.yes24.com/Product/Goods/1441176?scode=032&OzSrank=16
16,부동산투자와 세금의 모든 것,부동산투자자의 절세를 위한 필독서&부동산투자자라면 반드시 알아야 할 세무상식과 절세노하우 ,"지병근 , 지병규 , 오준석 저",더존테크윌,2020-03-23,20000,4092,350,,165*235*30,부동산/경매,0,http://www.yes24.com/Product/Goods/89598262?scode=032&OzSrank=17
17,합법적으로 세금 안 내는 110가지 방법 : 부동산편,절세를 알아야 부자가 될 수 있다 ,신방수 저,아라크네,2020-01-05,16000,6588,336,520,152*225*17,"회계/재무/세무, 부동산/경매",0,http://www.yes24.com/Product/Goods/84927645?scode=032&OzSrank=18
18,2019 부동산과 세금,알기 쉬운 부동산 세법 ,편집부 저,국세청,2019-05-01,2000,14958,수확인중,,150*220*15,정부간행물,6,http://www.yes24.com/Product/Goods/72253157?scode=032&OzSrank=19
19,2020 사례로 알아보는 부동산과 세금,,"고동호 , 이천화 저",유비온,2020-04-01,17000,246,336,,153*224*30,회계/재무/세무,0,http://www.yes24.com/Product/Goods/89723470?scode=032&OzSrank=20
