,제목,부제,저자,출판사,출간일,가격,지수,쪽,무게,판형,분류,목차,리뷰수,URL
0,이제부터는 오를 곳만 오른다,"[경제의 신과 함께] 하는 앞으로 5년, 돈 버는 알짜 부동산 20 ",김학렬 저,페이지2,2020-07-13,22000,171360,424,,152*225*30,부동산/경매,"


품목정보






출간일
2020년 07월 13일


쪽수, 무게, 크기
424쪽 | 152*225*30mm


ISBN13
9791196831073


ISBN10
1196831076




",0,http://www.yes24.com/Product/Goods/90873596
1,대한민국 청약지도,한 권으로 끝내는 청약 당첨 전략의 모든 것 ,정지영(아임해피) 저,다산북스,2020-06-29,18000,35685,424,782,152*224*30,"부동산/경매, 재테크일반","


품목정보






출간일
2020년 06월 29일


쪽수, 무게, 크기
424쪽 | 782g | 152*224*30mm


ISBN13
9791130630304


ISBN10
1130630307




",8,http://www.yes24.com/Product/Goods/90903001
2,코로나 투자 전쟁,전 세계 금융 역사 이래 최대의 유동성 ,"정채진 , 박석중 , 이광수 , 김한진 , 김일구 저 외 3명 정보 더 보기/감추기 정채진 박석중 이광수 김한진 김일구 여의도클라스 윤지호 최준영",페이지2,2020-05-25,16800,158655,312,542,152*225*30,"주식/증권, 부동산/경매, 경제전망","


품목정보






출간일
2020년 05월 25일


쪽수, 무게, 크기
312쪽 | 542g | 152*225*30mm


ISBN13
9791196831059


ISBN10
119683105X




",23,http://www.yes24.com/Product/Goods/90233128
3,내 집 없는 부자는 없다,하락장에도 흔들리지 않는 부동산 선순환 투자 ,대치동 키즈 저,원앤원북스,2020-06-25,16000,32811,296,454,152*225*20,부동산/경매,"


품목정보






출간일
2020년 06월 25일


쪽수, 무게, 크기
296쪽 | 454g | 152*225*20mm


ISBN13
9791170431015


ISBN10
1170431011




",22,http://www.yes24.com/Product/Goods/90576995
4,놀부의 부동산 DNA,일하지 않아도 돈이 들어오는 투자 메커니즘  ,놀부(정형근 저,알키,2020-06-30,18000,15864,292,516,124*224*20,부동산/경매,"


품목정보






출간일
2020년 06월 30일


쪽수, 무게, 크기
292쪽 | 516g | 124*224*20mm


ISBN13
9791165790769


ISBN10
1165790769




",0,http://www.yes24.com/Product/Goods/90699473
5,"흙수저 루저, 부동산 경매로 금수저 되다",500만 원 종잣돈으로 10년 안에 10억 만드는 가장 현실적인 방법 ,김상준 저,매일경제신문사,2020-07-06,16000,20634,256,478,152*225*20,부동산/경매,"


품목정보






출간일
2020년 07월 06일


쪽수, 무게, 크기
256쪽 | 478g | 152*225*20mm


ISBN13
9791164841356


ISBN10
1164841351




",15,http://www.yes24.com/Product/Goods/90555521
6,싱글맘 부동산 경매로 홀로서기,‘채널A 서민갑부 이선미’가 들려주는 실전 경매 투자 노하우 ,이선미 저/ 송희창 감수,지혜로,2020-03-09,16000,81246,308,574,170*225*30,"부동산/경매, 재테크일반","


품목정보






출간일
2020년 03월 09일


쪽수, 무게, 크기
308쪽 | 574g | 170*225*30mm


ISBN13
9791187799139


ISBN10
1187799130




",243,http://www.yes24.com/Product/Goods/89429762
7,송사무장의 부동산 경매의 기술,,송희창 저,지혜로,2017-04-20,16000,79980,312,560,152*223*19,부동산/경매,"


품목정보






출간일
2017년 04월 20일


쪽수, 무게, 크기
312쪽 | 560g | 152*223*19mm


ISBN13
9791187799023


ISBN10
1187799025




",115,http://www.yes24.com/Product/Goods/38002304
8,뷔페처럼 골라서 투자하는 해외 ETF 백과사전,"이 책 한 권이면 끝, '글로벌 ETF 투자 실전 가이드북!' ",김태현 저,스마트비즈니스,2020-05-04,21000,38973,384,682,153*225*30,부동산/경매,"


품목정보






출간일
2020년 05월 04일


쪽수, 무게, 크기
384쪽 | 682g | 153*225*30mm


ISBN13
9791163430292


ISBN10
1163430293




",34,http://www.yes24.com/Product/Goods/90004070
9,돈되는 재건축 재개발,,이정열(열정이넘쳐) 저,잇콘,2017-05-02,18000,64704,414,823,170*225*25,부동산/경매,"


품목정보






출간일
2017년 05월 02일


쪽수, 무게, 크기
414쪽 | 823g | 170*225*25mm


ISBN13
9791196073107


ISBN10
1196073104




",32,http://www.yes24.com/Product/Goods/39006676
10,경매 권리분석 이렇게 쉬웠어?,생초보도 할 수 있는 초간단 권리분석법 대공개! ,박희철(파이팅팔콘) 저/ 송희창 감수,지혜로,2019-01-15,18000,107010,328,588,152*223*30,부동산/경매,"


품목정보






출간일
2019년 01월 15일


쪽수, 무게, 크기
328쪽 | 588g | 152*223*30mm


ISBN13
9791187799078


ISBN10
1187799076




",156,http://www.yes24.com/Product/Goods/68724647
11,열정이넘쳐의 돈되는 재건축 재개발 2 재개발 완전정복 편,,이정열(열정이넘쳐) 저,잇콘,2019-06-15,18000,65478,332,666,170*225*20,부동산/경매,"


품목정보






출간일
2019년 06월 15일


쪽수, 무게, 크기
332쪽 | 666g | 170*225*20mm


ISBN13
9791196630430


ISBN10
1196630437




",26,http://www.yes24.com/Product/Goods/74257925
12,부동산 절세 완전정복,절세 고수 자본가의 세금 폭탄 피하는 법 ,이승현(자본가) 저,한국경제신문사(한경비피),2020-04-28,18000,33987,356,728,170*225*30,"회계/재무/세무, 부동산/경매","


품목정보






출간일
2020년 04월 28일


쪽수, 무게, 크기
356쪽 | 728g | 170*225*30mm


ISBN13
9788947545808


ISBN10
8947545805




",48,http://www.yes24.com/Product/Goods/90064729
13,부동산 폭등장이 온다,시장이 보내는 명확한 신호들 ,이현철 저,알에이치코리아(RHK),2020-06-15,17800,10242,312,500,145*215*30,부동산/경매,"


품목정보






출간일
2020년 06월 15일


쪽수, 무게, 크기
312쪽 | 500g | 145*215*30mm


ISBN13
9788925536798


ISBN10
892553679X




",10,http://www.yes24.com/Product/Goods/90526411
14,대한민국 땅따먹기,진짜 부자가 되고 싶다면 토지에 투자하라! ,서상하 저/ 송희창 감수,지혜로,2019-10-18,18000,65517,356,720,165*235*22,부동산/경매,"


품목정보






출간일
2019년 10월 18일


쪽수, 무게, 크기
356쪽 | 720g | 165*235*22mm


ISBN13
9791187799115


ISBN10
1187799114




",166,http://www.yes24.com/Product/Goods/80097312
15,부동산 상식사전,"전·월세, 내집, 상가, 토지, 경매까지 처음 만나는 부동산의 모든 것 ",백영록 저,길벗,2019-01-28,17500,67389,580,772,148*210*35,부동산/경매,"


품목정보






출간일
2019년 01월 28일


쪽수, 무게, 크기
580쪽 | 772g | 148*210*35mm


ISBN13
9791160507119


ISBN10
1160507112




",33,http://www.yes24.com/Product/Goods/69281729
16,송사무장의 부동산 공매의 기술,,송희창 저,지혜로,2016-12-28,18000,55512,456,638,170*225*25,부동산/경매,"


품목정보






출간일
2016년 12월 28일


쪽수, 무게, 크기
456쪽 | 638g | 170*225*25mm


ISBN13
9791187799016


ISBN10
1187799017




",62,http://www.yes24.com/Product/Goods/34974779
17,상가투자 비밀노트,상가고수들의 진짜 돈 버는 노하우 ,송희창 감수,지혜로,2016-06-20,18000,28404,384,784,165*235*30,부동산/경매,"


품목정보






출간일
2016년 06월 20일


쪽수, 무게, 크기
384쪽 | 784g | 165*235*30mm


ISBN13
9788996885580


ISBN10
8996885584




",107,http://www.yes24.com/Product/Goods/29074827
18,IGO빡시다의 돈되는 개발호재 핵심정리,,IGO빡시다(황성환) 저,잇콘,2020-05-02,19000,31371,252,520,170*225*20,부동산/경매,"


품목정보






출간일
2020년 05월 02일


쪽수, 무게, 크기
252쪽 | 520g | 170*225*20mm


ISBN13
9791196630416


ISBN10
1196630410




",18,http://www.yes24.com/Product/Goods/90124249
19,"빅데이터로 부동산 투자했다는 박 대리, 그래서 얼마 벌었대?",실패율 0%의 투자자 ‘플대표’의 빅데이터 투자법으로 나에게 딱 맞는 투자처 찾기! ,박상용(플대표) 저,잇콘,2020-05-02,18000,25470,304,624,170*225*30,"부동산/경매, 재테크일반","


품목정보






출간일
2020년 05월 02일


쪽수, 무게, 크기
304쪽 | 624g | 170*225*30mm


ISBN13
9791196630492


ISBN10
1196630496




",32,http://www.yes24.com/Product/Goods/90114555
20,10년 동안 적금밖에 모르던  39세 김 과장은 어떻게 1년 만에 부동산 천재가 됐을까?,5년 만에 자산을 100배로 불린 투자고수 렘군의 단기속성 부동산 스쿨 ,김재수(렘군) 저,비즈니스북스,2018-09-15,16800,56007,342,613,152*225*21,부동산/경매,"


품목정보






출간일
2018년 09월 15일


쪽수, 무게, 크기
342쪽 | 613g | 152*225*21mm


ISBN13
9791162540381


ISBN10
1162540389




",71,http://www.yes24.com/Product/Goods/64367255
21,대한민국 부동산 사용설명서,부동산 절대 기준 빠숑의 특급 가이드 ,김학렬 저,에프엔미디어,2020-01-01,19500,91074,344,716,162*225*25,부동산/경매,"


품목정보






출간일
2020년 01월 01일


쪽수, 무게, 크기
344쪽 | 716g | 162*225*25mm


ISBN13
9791188754236


ISBN10
1188754238




",38,http://www.yes24.com/Product/Goods/84252104
22,부동산 투자로 진짜 인생이 시작됐다,평범한 전업맘에서 부동산의 여왕이 되기까지 ,앨리스허 저,알에이치코리아(RHK),2020-03-05,18000,40155,316,694,152*225*20,부동산/경매,"


품목정보






출간일
2020년 03월 05일


쪽수, 무게, 크기
316쪽 | 694g | 152*225*20mm


ISBN13
9788925569055


ISBN10
8925569051




",76,http://www.yes24.com/Product/Goods/89221351
23,아기곰의 재테크 불변의 법칙,,아기곰 저,아라크네,2017-05-08,16000,43359,312,481,152*225*17,"부동산/경매, 재테크일반","


품목정보






출간일
2017년 05월 08일


쪽수, 무게, 크기
312쪽 | 481g | 152*225*17mm


ISBN13
9791157745562


ISBN10
1157745563




",66,http://www.yes24.com/Product/Goods/39404563
24,"대한민국 부동산 지난 10년, 앞으로 10년",,채상욱 저,라이프런,2020-03-13,17500,38571,284,462,147*215*20,부동산/경매,"


품목정보






출간일
2020년 03월 13일


쪽수, 무게, 크기
284쪽 | 462g | 147*215*20mm


ISBN13
9791196625931


ISBN10
119662593X




",6,http://www.yes24.com/Product/Goods/89478465
25,대한민국 부동산 초보를 위한 아파트 투자의 정석,마흔 전에 내 집 마련부터 부동산 투자까지 ,제네시스박 저,비즈니스북스,2020-03-11,16000,43740,304,550,152*225*30,부동산/경매,"


품목정보






출간일
2020년 03월 11일


쪽수, 무게, 크기
304쪽 | 550g | 152*225*30mm


ISBN13
9791162541326


ISBN10
1162541326




",60,http://www.yes24.com/Product/Goods/89387789
26,2020 부동산 세금 사용설명서,2020년 개정 세법에 맞춘 부동산 절세전략 가이드 ,김성일 저/ 우승일 감수,한빛비즈,2020-05-26,11200,20865,188,368,152*225*20,부동산/경매,"


품목정보






출간일
2020년 05월 26일


쪽수, 무게, 크기
188쪽 | 368g | 152*225*20mm


ISBN13
9791157844227


ISBN10
1157844227




",6,http://www.yes24.com/Product/Goods/90367322
27,부동산 경매 무작정 따라하기,왕초보도 실수 없이 권리분석하고 안전하게 낙찰받는다! ,이현정 저,길벗,2019-08-14,18000,42666,424,840,188*243*22,부동산/경매,"


품목정보






출간일
2019년 08월 14일


쪽수, 무게, 크기
424쪽 | 840g | 188*243*22mm


ISBN13
9791160508673


ISBN10
1160508674




",21,http://www.yes24.com/Product/Goods/77673587
28,서른 살 청년백수 부동산경매로 50억 벌다,,차원희 저,지혜로,2015-04-20,15000,26955,316,578,151*223*30,부동산/경매,"


품목정보






출간일
2015년 04월 20일


쪽수, 무게, 크기
316쪽 | 578g | 151*223*30mm


ISBN13
9788996885559


ISBN10
899688555X




",135,http://www.yes24.com/Product/Goods/17561653
29,주택임대사업자의 모든 것,,"지병근 , 지병규 , 김영선 저",더존테크윌,2020-03-06,25000,11322,430,,165*235*30,부동산/경매,"


품목정보






출간일
2020년 03월 06일


쪽수, 무게, 크기
430쪽 | 165*235*30mm


ISBN13
9791163060239


ISBN10
1163060232




",0,http://www.yes24.com/Product/Goods/89479032
30,나는 오를 땅만 산다 ,쉽게 배워 바로 써먹는 옥탑방보보스의 토지투자 첫걸음 ,김종율(옥탑방보보스) 저,한국경제신문사(한경비피),2018-11-29,16000,17088,271,478,153*225*20,부동산/경매,"


품목정보






출간일
2018년 11월 29일


쪽수, 무게, 크기
271쪽 | 478g | 153*225*20mm


ISBN13
9788947544306


ISBN10
8947544302




",53,http://www.yes24.com/Product/Goods/67096736
31,투에이스의 부동산 절세의 기술,"양도세, 종합소득세, 법인투자, 임대사업자까지 한 권으로 끝내는 세금 필독서 ",김동우 저/ 송희창 감수,지혜로,2019-05-30,19000,60912,460,917,165*235*27,부동산/경매,"


품목정보






출간일
2019년 05월 30일


쪽수, 무게, 크기
460쪽 | 917g | 165*235*27mm


ISBN13
9791187799085


ISBN10
1187799084




",102,http://www.yes24.com/Product/Goods/74259039
32,제네시스박의 부동산 절세,세금 노하우가 수익 노하우다! ,제네시스박 저,황금부엉이,2020-06-10,17500,14874,292,532,152*225*20,부동산/경매,"


품목정보






출간일
2020년 06월 10일


쪽수, 무게, 크기
292쪽 | 532g | 152*225*20mm


ISBN13
9788960305540


ISBN10
8960305545




",4,http://www.yes24.com/Product/Goods/90328249
33,디레버리징,2021~2024 수도권 파산과 경매의 시대에 관하여 ,박홍기 저,좋은땅,2020-02-14,20000,65535,320,,152*225*30,"부동산/경매, 경제전망","


품목정보






출간일
2020년 02월 14일


쪽수, 무게, 크기
320쪽 | 152*225*30mm


ISBN13
9791165361297


ISBN10
1165361299




",16,http://www.yes24.com/Product/Goods/88389989
34,셀프 소송의 기술,"내용증명, 점유이전금지가처분, 인도명령, 명도소송, 유치권, 법정지상권, 지분, 대지권미등기 등 부동산 경·공매 관련 모든 실전 서식 수록 ","송희창 , 이시훈 저",지혜로,2020-01-06,55000,31092,740,"1,384",175*243*42,"경영전략/경영혁신, 부동산/경매","


품목정보






출간일
2020년 01월 06일


쪽수, 무게, 크기
740쪽 | 1,384g | 175*243*42mm


ISBN13
9791187799122


ISBN10
1187799122




",164,http://www.yes24.com/Product/Goods/85466451
35,부동산 경매 고수 만들기,경매의 달인 미소영이 안내하는 투자 로드맵 ,안신영 저,다다리더스,2020-06-15,20000,8601,460,928,165*235*30,부동산/경매,"


품목정보






출간일
2020년 06월 15일


쪽수, 무게, 크기
460쪽 | 928g | 165*235*30mm


ISBN13
9791190124027


ISBN10
1190124025




",5,http://www.yes24.com/Product/Goods/90552071
36,위기를 기회로 바꾸는 부의 공식,"앞으로 3년, 부자 될 기회가 온다 ",이지윤 저,길벗,2020-05-27,17000,13617,344,578,148*210*30,"경제사상과 이론, 부동산/경매, 재테크일반, 외환투자","


품목정보






출간일
2020년 05월 27일


쪽수, 무게, 크기
344쪽 | 578g | 148*210*30mm


ISBN13
9791165211493


ISBN10
1165211491




",36,http://www.yes24.com/Product/Goods/90315901
37,나는 집 대신 상가에 투자한다,,김종율(옥탑방보보스) 저,베리북,2016-08-11,16800,15336,276,540,170*225*17,부동산/경매,"


품목정보






출간일
2016년 08월 11일


쪽수, 무게, 크기
276쪽 | 540g | 170*225*17mm


ISBN13
9791195446551


ISBN10
1195446551




",38,http://www.yes24.com/Product/Goods/30424898
38,대한민국 부동산 10년 후 미래가치에 주목하라,"서울, 수도권, 지방까지 한눈에 읽는 부동산 투자 지도 ",박합수 저,매일경제신문사,2020-05-15,18000,13776,344,628,152*225*30,부동산/경매,"


품목정보






출간일
2020년 05월 15일


쪽수, 무게, 크기
344쪽 | 628g | 152*225*30mm


ISBN13
9791164841196


ISBN10
116484119X




",30,http://www.yes24.com/Product/Goods/90039821
39,서울 아파트 지도,돈 되는 아파트만 골라낸 특급 답사기 ,이재범(핑크팬더) 저,리더스북,2020-04-13,18000,26640,364,664,152*225*30,부동산/경매,"


품목정보






출간일
2020년 04월 13일


쪽수, 무게, 크기
364쪽 | 664g | 152*225*30mm


ISBN13
9788901241388


ISBN10
8901241382




",29,http://www.yes24.com/Product/Goods/89784031
