,제목,부제,저자,출판사,출간일,가격,지수,쪽,무게,판형,분류,리뷰수,URL
0,이제부터는 오를 곳만 오른다,"[경제의 신과 함께] 하는 앞으로 5년, 돈 버는 알짜 부동산 20 ",김학렬 저,페이지2,2020-07-13,22000,189744,424,826,152*225*30,부동산/경매,2,http://www.yes24.com/Product/Goods/90873596
1,코로나 투자 전쟁,전 세계 금융 역사 이래 최대의 유동성 ,"정채진 , 박석중 , 이광수 , 김한진 , 김일구 저 외 3명 정보 더 보기/감추기 정채진 박석중 이광수 김한진 김일구 여의도클라스 윤지호 최준영",페이지2,2020-05-25,16800,132732,312,542,152*225*30,"주식/증권, 부동산/경매, 경제전망",25,http://www.yes24.com/Product/Goods/90233128
2,경매 권리분석 이렇게 쉬웠어?,생초보도 할 수 있는 초간단 권리분석법 대공개! ,박희철(파이팅팔콘) 저/ 송희창 감수,지혜로,2019-01-15,18000,105840,328,588,152*223*30,부동산/경매,156,http://www.yes24.com/Product/Goods/68724647
3,대한민국 부동산 사용설명서,부동산 절대 기준 빠숑의 특급 가이드 ,김학렬 저,에프엔미디어,2020-01-01,19500,91380,344,716,162*225*25,부동산/경매,38,http://www.yes24.com/Product/Goods/84252104
4,송사무장의 부동산 경매의 기술,,송희창 저,지혜로,2017-04-20,16000,80478,312,560,152*223*19,부동산/경매,115,http://www.yes24.com/Product/Goods/38002304
5,싱글맘 부동산 경매로 홀로서기,‘채널A 서민갑부 이선미’가 들려주는 실전 경매 투자 노하우 ,이선미 저/ 송희창 감수,지혜로,2020-03-09,16000,79347,308,574,170*225*30,"부동산/경매, 재테크일반",243,http://www.yes24.com/Product/Goods/89429762
6,지성의 돈되는 부동산 1인법인,,지성 저/ 이승현(자본가) 감수,잇콘,2019-01-02,19000,79080,260,548,175*220*20,부동산/경매,48,http://www.yes24.com/Product/Goods/68157021
7,부동산 상식사전,"전·월세, 내집, 상가, 토지, 경매까지 처음 만나는 부동산의 모든 것 ",백영록 저,길벗,2019-01-28,17500,67755,580,772,148*210*35,부동산/경매,33,http://www.yes24.com/Product/Goods/69281729
8,대한민국 땅따먹기,진짜 부자가 되고 싶다면 토지에 투자하라! ,서상하 저/ 송희창 감수,지혜로,2019-10-18,18000,67044,356,720,165*235*22,부동산/경매,167,http://www.yes24.com/Product/Goods/80097312
9,디레버리징,2021~2024 수도권 파산과 경매의 시대에 관하여 ,박홍기 저,좋은땅,2020-02-14,20000,65427,320,,152*225*30,"부동산/경매, 경제전망",16,http://www.yes24.com/Product/Goods/88389989
10,열정이넘쳐의 돈되는 재건축 재개발 2 재개발 완전정복 편,,이정열(열정이넘쳐) 저,잇콘,2019-06-15,18000,64401,332,666,170*225*20,부동산/경매,26,http://www.yes24.com/Product/Goods/74257925
11,돈되는 재건축 재개발,,이정열(열정이넘쳐) 저,잇콘,2017-05-02,18000,64290,414,823,170*225*25,부동산/경매,32,http://www.yes24.com/Product/Goods/39006676
12,투에이스의 부동산 절세의 기술,"양도세, 종합소득세, 법인투자, 임대사업자까지 한 권으로 끝내는 세금 필독서 ",김동우 저/ 송희창 감수,지혜로,2019-05-30,19000,57678,460,917,165*235*27,부동산/경매,102,http://www.yes24.com/Product/Goods/74259039
13,10년 동안 적금밖에 모르던  39세 김 과장은 어떻게 1년 만에 부동산 천재가 됐을까?,5년 만에 자산을 100배로 불린 투자고수 렘군의 단기속성 부동산 스쿨 ,김재수(렘군) 저,비즈니스북스,2018-09-15,16800,54306,342,613,152*225*21,부동산/경매,71,http://www.yes24.com/Product/Goods/64367255
14,송사무장의 부동산 공매의 기술,,송희창 저,지혜로,2016-12-28,18000,53256,456,638,170*225*25,부동산/경매,62,http://www.yes24.com/Product/Goods/34974779
15,수도권 알짜 부동산 답사기,,김학렬 저,지혜로,2019-07-25,18000,48006,420,,크기확인중,부동산/경매,148,http://www.yes24.com/Product/Goods/76632481
16,대한민국 청약지도,한 권으로 끝내는 청약 당첨 전략의 모든 것 ,정지영(아임해피) 저,다산북스,2020-06-29,18000,47910,424,782,152*224*30,"부동산/경매, 재테크일반",11,http://www.yes24.com/Product/Goods/90903001
17,부동산 소액 투자의 정석,경제가 흔들려도 변하지 않는 투자의 기술 ,김원철 저,알에이치코리아(RHK),2019-11-06,18000,43734,360,564,145*215*22,부동산/경매,43,http://www.yes24.com/Product/Goods/81536428
18,대한민국 부동산 초보를 위한 아파트 투자의 정석,마흔 전에 내 집 마련부터 부동산 투자까지 ,제네시스박 저,비즈니스북스,2020-03-11,16000,43194,304,550,152*225*30,부동산/경매,60,http://www.yes24.com/Product/Goods/89387789
19,부동산 경매 무작정 따라하기,왕초보도 실수 없이 권리분석하고 안전하게 낙찰받는다! ,이현정 저,길벗,2019-08-14,18000,43056,424,840,188*243*22,부동산/경매,21,http://www.yes24.com/Product/Goods/77673587
20,아기곰의 재테크 불변의 법칙,,아기곰 저,아라크네,2017-05-08,16000,42495,312,481,152*225*17,"부동산/경매, 재테크일반",68,http://www.yes24.com/Product/Goods/39404563
21,내 집 없는 부자는 없다,하락장에도 흔들리지 않는 부동산 선순환 투자 ,대치동 키즈 저,원앤원북스,2020-06-25,16000,40296,296,454,152*225*20,부동산/경매,25,http://www.yes24.com/Product/Goods/90576995
22,뷔페처럼 골라서 투자하는 해외 ETF 백과사전,"이 책 한 권이면 끝, '글로벌 ETF 투자 실전 가이드북!' ",김태현 저,스마트비즈니스,2020-05-04,21000,40008,384,682,153*225*30,부동산/경매,34,http://www.yes24.com/Product/Goods/90004070
23,부동산 투자로 진짜 인생이 시작됐다,평범한 전업맘에서 부동산의 여왕이 되기까지 ,앨리스허 저,알에이치코리아(RHK),2020-03-05,18000,39234,316,694,152*225*20,부동산/경매,76,http://www.yes24.com/Product/Goods/89221351
24,"대한민국 부동산 지난 10년, 앞으로 10년",,채상욱 저,라이프런,2020-03-13,17500,37527,284,462,147*215*20,부동산/경매,6,http://www.yes24.com/Product/Goods/89478465
25,월급쟁이 부자로 은퇴하라,3년 만에 30년 치 연봉을 번 김 과장의 시스템 마련법 ,너나위 저,알에이치코리아(RHK),2019-05-22,18000,32055,364,610,145*215*22,부동산/경매,61,http://www.yes24.com/Product/Goods/73032112
26,상가투자 비밀노트,상가고수들의 진짜 돈 버는 노하우 ,송희창 감수,지혜로,2016-06-20,18000,31164,384,784,165*235*30,부동산/경매,107,http://www.yes24.com/Product/Goods/29074827
