,제목,부제,저자,출판사,출간일,가격,지수,쪽,무게,판형,분류,리뷰수,URL
0,존리의 부자되기 습관,대한민국 경제독립 액션 플랜 ,존 리 저,지식노마드,2020-01-15,15000,255390,216,328,152*206*14,"재테크일반, 경향신문",32,http://www.yes24.com/Product/Goods/86008250
1,재무제표 모르면 주식투자 절대로 하지마라,,사경인 저,베가북스,2020-01-10,19800,221535,360,880,188*242*22,"회계/재무/세무, 주식/증권, 재테크일반",29,http://www.yes24.com/Product/Goods/86017987
2,진짜 부자 가짜 부자,사경인 회계사의 부자 되는 돈 공부 ,사경인 저,더클래스,2020-04-17,17000,138741,344,580,148*220*30,재테크일반,35,http://www.yes24.com/Product/Goods/89903225
3,디플레 전쟁,,홍춘욱 저,스마트북스,2020-04-25,17500,69126,332,594,152*225*30,"주식/증권, 재테크일반, 경제상식/경제이야기, 경제전망, 한겨레, 경향신문",17,http://www.yes24.com/Product/Goods/90035711
4,부의 추월차선,부자들이 말해 주지 않는 진정한 부를 얻는 방법 ,엠제이 드마코 저/ 신소영 역,토트출판사,2013-08-20,15000,188829,392,706,158*230*25,"경제상식/경제이야기, 재테크일반",152,http://www.yes24.com/Product/Goods/9440838
5,싱글맘 부동산 경매로 홀로서기,‘채널A 서민갑부 이선미’가 들려주는 실전 경매 투자 노하우 ,이선미 저/ 송희창 감수,지혜로,2020-03-09,16000,78708,308,574,170*225*30,"부동산/경매, 재테크일반",237,http://www.yes24.com/Product/Goods/89429762
6,부의 본능,슈퍼리치가 되는 9가지 방법 ,브라운스톤 저,토트출판사,2018-08-14,13800,112236,248,476,152*224*20,재테크일반,55,http://www.yes24.com/Product/Goods/63688657
7,부자 아빠 가난한 아빠 20주년 특별 기념판,,로버트 기요사키 저/ 안진환 역,민음인,2018-02-22,15800,191520,446,628,148*210*30,재테크일반,78,http://www.yes24.com/Product/Goods/58774995
8,주식투자 무작정 따라하기,100만 왕초보가 감동한 최고의 주식투자 입문서 ,윤재수 저,길벗,2020-01-10,18000,132915,420,892,188*243*20,"주식/증권, 재테크일반",15,http://www.yes24.com/Product/Goods/85156209
9,잠든 사이 월급 버는 미국 배당주 투자,안정된 수익 내는 배당투자의 나침반 ,"소수몽키(홍승초) , 베가스풍류객(임성준) , 윤재홍 공저",베가북스,2019-01-04,19000,86631,304,612,160*230*30,"주식/증권, 재테크일반, 외환투자",28,http://www.yes24.com/Product/Goods/67506349
10,내일의 부 1 : 알파편,세상에서 가장 빨리 99.9% 부자 되는 법! ,김장섭 저,트러스트북스,2020-01-29,16000,187437,308,584,153*224*20,"주식/증권, 재테크일반",65,http://www.yes24.com/Product/Goods/86361085
11,내일의 부 2 : 오메가편,세상에서 가장 빨리 99.9% 부자 되는 법! ,김장섭 저,트러스트북스,2020-01-29,16000,152223,328,582,153*224*19,"주식/증권, 재테크일반",26,http://www.yes24.com/Product/Goods/86361094
12,"앞으로 3년, 대담한 투자",100년의 금융역사가 증명한 불변의 법칙 ,최윤식 저,지식노마드,2020-05-11,15000,13152,242,386,145*224*20,재테크일반,2,http://www.yes24.com/Product/Goods/90157279
13,잠든 사이 월급 버는 미국 주식 투자,불황을 이기는 가장 확실한 비법 ,"베가스풍류객(임성준) , 알디슨(조치연) , 쿠리(주식공작단) , 김동식 , 인베스테인먼트 저",베가북스,2020-05-11,22000,12060,360,718,160*230*30,"경영일반, 주식/증권, 재테크일반",0,http://www.yes24.com/Product/Goods/90195518
14,부의 열차에 올라타는 법,월급의 굴레에서 벗어나 초고속으로 부자가 되는 길 ,스에오카 요시노리 저/ 유나현 역,비즈니스북스,2020-05-13,14000,9588,232,360,150*210*20,재테크일반,27,http://www.yes24.com/Product/Goods/90126212
15,"빅데이터로 부동산 투자했다는 박 대리, 그래서 얼마 벌었대?",실패율 0%의 투자자 ‘플대표’의 빅데이터 투자법으로 나에게 딱 맞는 투자처 찾기! ,박상용(플대표) 저,잇콘,2020-05-02,18000,10020,304,624,170*225*30,"부동산/경매, 재테크일반",8,http://www.yes24.com/Product/Goods/90114555
16,부자의 언어,어떻게 살아야 부자가 되는지 묻는 아들에게 ,존 소포릭 저/ 이한이 역,윌북(willbook),2020-03-25,16800,29829,396,490,145*220*30,"재테크일반, 성공스토리",32,http://www.yes24.com/Product/Goods/89641534
17,미국 배당주 투자지도,,서승용 저,진서원,2019-04-18,22000,48216,252,507,170*225*15,"주식/증권, 재테크일반, 외환투자",46,http://www.yes24.com/Product/Goods/71954568
18,한 권으로 끝내는 테마주 투자,,박민수(샌드타이거샤크) 저,길벗,2020-04-15,22000,33843,468,956,170*225*30,"주식/증권, 재테크일반",10,http://www.yes24.com/Product/Goods/89840494
19,빅 머니 씽크 스몰,편견과 무지를 극복하는 단단한 투자의 원칙 ,"조엘 틸링해스트 저/ 백진호 , 나승민 , 박주연 역/ 설윤성 감수",워터베어프레스 (WATER BEAR PRESS),2020-04-30,22000,14484,440,764,152*225*30,"주식/증권, 재테크일반",5,http://www.yes24.com/Product/Goods/89924663
20,랜덤워크 투자수업,전문가 부럽지 않은 투자 감각을 길러주는 위대한 투자서 ,버턴 말킬 저/ 박세연 역,골든어페어,2020-04-13,25000,23901,533,970,162*232*42,"주식/증권, 재테크일반",18,http://www.yes24.com/Product/Goods/89576355
21,마법의 연금 굴리기,"연금저축, IRP, ISA 절세 삼총사를 ETF로 자산배분하라! ",김성일 저,에이지21,2019-04-12,16000,50649,256,368,148*215*17,재테크일반,20,http://www.yes24.com/Product/Goods/71829160
22,월급쟁이 재테크 상식사전,"예 · 적금, 펀드, 주식, 부동산, P2P, 앱테크까지 꼼꼼하게 모으고 안전하게 불리는 비법 152 ",우용표 저,길벗,2019-06-07,17500,76560,584,791,148*210*24,재테크일반,53,http://www.yes24.com/Product/Goods/74214177
23,나의 월급 독립 프로젝트,3년 만에 30억 벌고 퇴사한 슈퍼개미의 실전 주식투자 생중계 ,유목민 저,리더스북,2019-04-15,18000,83682,260,575,153*215*19,"주식/증권, 재테크일반, 2019년 올해의 책 후보도서",67,http://www.yes24.com/Product/Goods/71973904
24,언스크립티드,부의 추월차선 완결판 ,엠제이 드마코 저/ 안시열 역,토트출판사,2018-01-17,19800,45339,495,844,152*225*30,"재테크일반, 2018년 올해의 책 후보도서",71,http://www.yes24.com/Product/Goods/57958368
